searchSteps,timeToFinishWeight,levelPack,levelIndex,win,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
1,1.6,patternCount,15,true,1.00,4325,346,4322,131,451521,1083
1,1.8,original,1,true,1.00,2246,330,2243,68,232898,2046
1,1.8,original,2,true,1.00,5509,288,5507,167,523897,1816
1,1.8,original,3,false,0.54,3666,124,3665,124,447463,964
1,1.8,original,4,true,1.00,11648,404,11647,353,1137561,3002
1,1.8,original,5,true,1.00,8550,367,8548,259,832767,1691
1,1.8,original,6,false,0.41,2737,97,2737,97,339206,711
1,1.8,original,7,true,1.00,11088,385,11087,336,811671,1221
1,1.8,original,8,true,1.00,2808,351,2805,85,256728,2285
1,1.8,original,9,true,1.00,32,342,30,1,2823,631
1,1.8,original,10,false,0.53,3635,123,3635,123,440357,944
1,1.8,original,11,true,1.00,6794,346,6792,206,713007,1832
1,1.8,original,12,true,1.00,8649,433,8647,262,877704,2738
1,1.8,original,13,true,1.00,7258,281,7258,220,974262,3367
1,1.8,original,14,true,1.00,5811,336,5810,176,603008,1332
1,1.8,original,15,true,1.00,13769,694,13767,417,1318552,2421
1,1.8,krys,1,true,1.00,8026,327,8026,243,867749,2305
1,1.8,krys,2,false,0.79,32470,999,32470,999,3652310,2123
1,1.8,krys,3,false,0.70,32517,999,32489,999,3820493,1224
1,1.8,krys,4,true,1.00,8945,312,8914,269,893617,2245
1,1.8,krys,5,true,1.00,6992,270,6992,212,822693,1906
1,1.8,krys,6,true,1.00,6372,291,6371,193,713727,3113
1,1.8,krys,7,true,1.00,7173,319,7172,218,773566,2732
1,1.8,krys,8,true,1.00,6563,289,6562,199,678870,1646
1,1.8,krys,9,true,1.00,6046,306,6044,183,686729,2652
1,1.8,krys,10,true,1.00,8617,310,8616,261,955399,2997
1,1.8,krys,11,true,1.00,7000,321,6998,212,681357,2269
1,1.8,krys,12,true,1.00,7686,331,7685,233,816387,3448
